dataset_name,model_name,sampling_time_step_count,hyperparameter1,hyperparameter1_name,hyperparameter2,hyperparameter2_name,rmse,crps,time_s_mean,k,tie_breaker
KuramotoSivashinsky,EnFF-F2P,50,0.001,sigma_min,0.3,lambda,0.23350204803743552,7.467872455652534,0.09554532483999992,22,1
KuramotoSivashinsky,EnFF-F2P,50,0.0001,sigma_min,0.3,lambda,0.23350334770211742,7.471687390051128,0.09825519143999997,23,1
KuramotoSivashinsky,EnFF-F2P,50,1e-05,sigma_min,0.3,lambda,0.23350347947681066,7.472069364304323,0.09675832859999786,24,1
KuramotoSivashinsky,EnFF-F2P,50,0.1,sigma_min,0.3,lambda,0.2335333998540115,7.086823245135638,0.10889591437999797,25,1
KuramotoSivashinsky,EnFF-F2P,50,0.01,sigma_min,0.4,lambda,0.2518851865478267,8.029528602105886,0.1102656194000025,26,1
KuramotoSivashinsky,EnFF-F2P,50,0.001,sigma_min,0.4,lambda,0.25189121799304703,8.057421460449369,0.10503354776000265,27,1
KuramotoSivashinsky,EnFF-F2P,50,0.0001,sigma_min,0.4,lambda,0.2518919478619386,8.060232412296163,0.11371494640000095,28,1
KuramotoSivashinsky,EnFF-F2P,50,1e-05,sigma_min,0.4,lambda,0.25189202274625544,8.060513734408548,0.07284439773999793,29,1
KuramotoSivashinsky,EnFF-F2P,50,0.1,sigma_min,0.4,lambda,0.251964942260999,7.765904980601115,0.11538400169999932,30,1
KuramotoSivashinsky,EnFF-F2P,50,0.01,sigma_min,0.5,lambda,0.26532341015066846,8.466479061114653,0.07780881814000111,31,1
KuramotoSivashinsky,EnFF-F2P,50,0.001,sigma_min,0.5,lambda,0.2653265288038475,8.488053695321817,0.11033024900000044,32,1
KuramotoSivashinsky,EnFF-F2P,50,0.0001,sigma_min,0.5,lambda,0.26532700567935885,8.490224570680978,0.11439788879999924,33,1
KuramotoSivashinsky,EnFF-F2P,50,1e-05,sigma_min,0.5,lambda,0.2653270550834011,8.49044180063945,0.10096417090000046,34,1
KuramotoSivashinsky,EnFF-F2P,50,0.1,sigma_min,0.5,lambda,0.26544276454581406,8.259785126094854,0.0989460808399997,35,1
KuramotoSivashinsky,EnFF-F2P,50,0.01,sigma_min,0.6,lambda,0.2757332550095301,8.804366532190448,0.0951972126600009,36,1
